date,model,params,instruct,multi,base,paper
2018/10/01,bert-base-uncased,110,,,bert-base-uncased,https://arxiv.org/abs/1810.04805
2018/10/01,bert-large-uncased,340,,,bert-base-uncased,https://arxiv.org/abs/1810.04805
2018/10/01,openai-gpt,117,,,openai-gpt,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf
2019/02/01,gpt2,117,,,gpt2,https://d4mucfpksywv.cloudfront.net/better-language-models/language-models.pdf
2019/02/01,gpt2-medium,345,,,gpt2,https://d4mucfpksywv.cloudfront.net/better-language-models/language-models.pdf
2019/02/01,gpt2-large,762,,,gpt2,https://d4mucfpksywv.cloudfront.net/better-language-models/language-models.pdf
2019/02/01,gpt2-xl,1542,,,gpt2,https://d4mucfpksywv.cloudfront.net/better-language-models/language-models.pdf
2019/06/01,xlnet-large-cased,340,,,xlnet-large-cased,https://arxiv.org/abs/1906.08237
2019/07/26,roberta-base,125,,,roberta-base,https://arxiv.org/abs/1907.11692
2019/07/26,roberta-large,355,,,roberta-base,https://arxiv.org/abs/1907.11692
2019/07/28,t5-small,60,,,t5-base,https://arxiv.org/abs/1910.10683
2019/07/28,t5-base,220,,,t5-base,https://arxiv.org/abs/1910.10683
2019/07/28,t5-large,770,,,t5-base,https://arxiv.org/abs/1910.10683
2019/07/28,t5-3b,3000,,,t5-base,https://arxiv.org/abs/1910.10683
2019/07/28,t5-11b,11000,,,t5-base,https://arxiv.org/abs/1910.10683
2019/09/26,albert-xxlarge-v1,233,,,,https://arxiv.org/pdf/1909.11942v1.pdf
2019/10/01,facebook/bart-base,121,,,facebook/bart-base,https://arxiv.org/pdf/1910.13461.pdf
2019/10/01,facebook/bart-large,374,,,facebook/bart-base,https://arxiv.org/pdf/1910.13461.pdf
2020/02/01,MiniLM-L12-H384-uncased,66,,,MiniLM-L12-H384-uncased,https://arxiv.org/pdf/2002.10957.pdf
2020/10/01,google/mt5-small,300,,y,google/mt5-base,https://arxiv.org/abs/2010.11934
2020/10/01,google/mt5-base,580,,y,google/mt5-base,https://arxiv.org/abs/2010.11934
2020/10/01,google/mt5-large,1200,,y,google/mt5-base,https://arxiv.org/abs/2010.11934
2020/10/01,google/mt5-xl,3700,,y,google/mt5-base,https://arxiv.org/abs/2010.11934
2020/10/01,google/mt5-xxl,13000,,y,google/mt5-base,https://arxiv.org/abs/2010.11934
2021/03/01,BAAI/glm-base,110,,,BAAI/glm-base,https://arxiv.org/pdf/2103.10360.pdf
2021/03/01,BAAI/glm-large,340,,,BAAI/glm-base,https://arxiv.org/pdf/2103.10360.pdf
2021/03/21,EleutherAI/gpt-neo-125M,350,,,EleutherAI/gpt-neo-125M,https://zenodo.org/record/5297715
2021/03/21,EleutherAI/gpt-neo-1.3B,1300,,,EleutherAI/gpt-neo-125M,https://zenodo.org/record/5297715
2021/03/21,EleutherAI/gpt-neo-2.7B,2700,,,EleutherAI/gpt-neo-125M,https://zenodo.org/record/5297715
2021/05/01,EleutherAI/gpt-j-6B,6053,,,EleutherAI/gpt-neo-125M,https://github.com/kingoflolz/mesh-transformer-jax
2021/12/01,KoboldAI/fairseq-dense-125M,125,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2021/12/01,KoboldAI/fairseq-dense-355M,355,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2021/12/01,KoboldAI/fairseq-dense-1.3B,1300,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2021/12/01,KoboldAI/fairseq-dense-2.7B,2700,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2021/12/01,KoboldAI/fairseq-dense-6.7B,6700,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2021/12/01,KoboldAI/fairseq-dense-13B,13000,,,KoboldAI/fairseq-dense-125M,https://arxiv.org/pdf/2112.10684.pdf
2022/03/01,Salesforce/codegen-350M-nl,350,,,Salesforce/codegen-350M-nl,https://arxiv.org/pdf/2203.13474.pdf
2022/03/01,Salesforce/codegen-2B-nl,2700,,,Salesforce/codegen-350M-nl,https://arxiv.org/pdf/2203.13474.pdf
2022/03/01,Salesforce/codegen-6B-nl,6100,,,Salesforce/codegen-350M-nl,https://arxiv.org/pdf/2203.13474.pdf
2022/03/01,Salesforce/codegen-16B-nl,16100,,,Salesforce/codegen-350M-nl,https://arxiv.org/pdf/2203.13474.pdf
2022/03/01,bigscience/T0_3B,3000,y,,bigscience/T0,https://arxiv.org/pdf/2110.08207.pdf
2022/03/01,bigscience/T0,11000,y,,bigscience/T0,https://arxiv.org/pdf/2110.08207.pdf
2022/04/01,EleutherAI/gpt-neox-20b,20000,,,EleutherAI/gpt-neo-125M,https://arxiv.org/abs/2204.06745
2022/04/01,allenai/tk-instruct-base-def-pos,220,y,,allenai/tk-instruct-base-def-pos,https://arxiv.org/pdf/2204.07705.pdf
2022/04/01,allenai/tk-instruct-large-def-pos,770,y,,allenai/tk-instruct-base-def-pos,https://arxiv.org/pdf/2204.07705.pdf
2022/04/01,allenai/tk-instruct-3b-def-pos,3000,y,,allenai/tk-instruct-base-def-pos,https://arxiv.org/pdf/2204.07705.pdf
2022/04/01,allenai/tk-instruct-11b-def-pos,11000,y,,allenai/tk-instruct-base-def-pos,https://arxiv.org/pdf/2204.07705.pdf
2022/05/01,bigscience/bloom-560m,560,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
2022/05/01,bigscience/bloom-1b1,1100,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
